go_acc	go_domain
GO:0000002	biological_process
GO:0000003	biological_process
GO:0000010	molecular_function
GO:0000012	biological_process
GO:0000014	molecular_function
GO:0000015	cellular_component
GO:0000016	molecular_function
GO:0000018	biological_process
GO:0000019	biological_process
GO:0000022	biological_process
GO:0000023	biological_process
GO:0000026	molecular_function
GO:0000027	biological_process
GO:0000028	biological_process
GO:0000030	molecular_function
GO:0000032	biological_process
GO:0000033	molecular_function
GO:0000035	molecular_function
GO:0000036	molecular_function
GO:0000038	biological_process
GO:0000045	biological_process
GO:0000048	molecular_function
GO:0000049	molecular_function
GO:0000050	biological_process
GO:0000052	biological_process
GO:0000053	biological_process
GO:0000054	biological_process
GO:0000055	biological_process
GO:0000056	biological_process
GO:0000062	molecular_function
GO:0000064	molecular_function
GO:0000070	biological_process
GO:0000075	biological_process
GO:0000076	biological_process
GO:0000077	biological_process
GO:0000079	biological_process
GO:0000082	biological_process
GO:0000083	biological_process
GO:0000086	biological_process
GO:0000095	molecular_function
GO:0000096	biological_process
GO:0000097	biological_process
GO:0000098	biological_process
GO:0000103	biological_process
GO:0000104	molecular_function
GO:0000105	biological_process
GO:0000109	cellular_component
GO:0000110	cellular_component
GO:0000111	cellular_component
GO:0000112	cellular_component
GO:0000117	biological_process
GO:0000118	cellular_component
GO:0000120	cellular_component
GO:0000121	molecular_function
GO:0000122	biological_process
GO:0000123	cellular_component
GO:0000124	cellular_component
GO:0000125	cellular_component
GO:0000126	cellular_component
GO:0000127	cellular_component
GO:0000132	biological_process
GO:0000137	cellular_component
GO:0000138	cellular_component
GO:0000139	cellular_component
GO:0000145	cellular_component
GO:0000146	molecular_function
GO:0000147	biological_process
GO:0000149	molecular_function
GO:0000150	molecular_function
GO:0000151	cellular_component
GO:0000152	cellular_component
GO:0000153	cellular_component
GO:0000154	biological_process
GO:0000159	cellular_component
GO:0000160	biological_process
GO:0000164	cellular_component
GO:0000165	biological_process
GO:0000166	molecular_function
GO:0000170	molecular_function
GO:0000171	molecular_function
GO:0000172	cellular_component
GO:0000173	biological_process
GO:0000175	molecular_function
